BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
81;Bachs;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;265;Fr./Einw.;Franken pro Einwohner;
82;Boppelsen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;525;Fr./Einw.;Franken pro Einwohner;
83;Buchs;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;136;Fr./Einw.;Franken pro Einwohner;
84;Dällikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;136;Fr./Einw.;Franken pro Einwohner;
85;Dänikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;184;Fr./Einw.;Franken pro Einwohner;
86;Dielsdorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;158;Fr./Einw.;Franken pro Einwohner;
87;Hüttikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;323;Fr./Einw.;Franken pro Einwohner;
88;Neerach;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;271;Fr./Einw.;Franken pro Einwohner;
89;Niederglatt;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;87;Fr./Einw.;Franken pro Einwohner;
90;Niederhasli;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;124;Fr./Einw.;Franken pro Einwohner;
91;Niederweningen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;279;Fr./Einw.;Franken pro Einwohner;
92;Oberglatt;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;156;Fr./Einw.;Franken pro Einwohner;
93;Oberweningen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;157;Fr./Einw.;Franken pro Einwohner;
94;Otelfingen;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;205;Fr./Einw.;Franken pro Einwohner;
95;Regensberg;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;167;Fr./Einw.;Franken pro Einwohner;
96;Regensdorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;128;Fr./Einw.;Franken pro Einwohner;
97;Rümlang;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;207;Fr./Einw.;Franken pro Einwohner;
98;Schleinikon;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;147;Fr./Einw.;Franken pro Einwohner;
99;Schöfflisdorf;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;191;Fr./Einw.;Franken pro Einwohner;
100;Stadel;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;251;Fr./Einw.;Franken pro Einwohner;
101;Steinmaur;Öffentliche Finanzen;Gemeindefinanzen;Gemeinde Nettoaufwand;428;Nettoaufwand Verkehr [Fr./Einw.];2012;162;Fr./Einw.;Franken pro Einwohner;
